G1?,G2?,G3?,G4?,G5?,G6?,EX_A(e),EX_B(e),Objective
0.0,1.0,0.0,0.0,0.0,0.0,-87.1209767271446,-0.0,87.1209767271446
0.0,0.0,1.0,0.0,0.0,0.0,-85.42695125836579,-71.35862450469699,71.35862450469699
0.0,0.0,0.0,1.0,0.0,0.0,-85.42695125836579,-71.35862450469699,71.35862450469699
1.0,0.0,0.0,0.0,0.0,0.0,-85.42695125836579,-71.35862450469699,71.35862450469699
0.0,0.0,0.0,0.0,1.0,0.0,-85.42695125836579,-71.35862450469699,156.78557576306278
0.0,0.0,0.0,0.0,0.0,1.0,-85.42695125836579,-71.35862450469699,156.78557576306278
0.0,1.0,0.0,0.0,0.0,0.0,-85.42695125836579,-71.35862450469699,85.42695125836579
0.0,0.0,1.0,0.0,0.0,0.0,-85.14299659096177,-71.70991811361029,71.70991811361029
0.0,0.0,0.0,1.0,0.0,0.0,-85.14299659096177,-71.70991811361029,71.70991811361029
1.0,0.0,0.0,0.0,0.0,0.0,-85.14299659096177,-71.70991811361029,71.70991811361029
0.0,0.0,0.0,0.0,1.0,0.0,-85.14299659096177,-71.70991811361029,156.85291470457207
0.0,0.0,0.0,0.0,0.0,1.0,-85.14299659096177,-71.70991811361029,156.85291470457207
0.0,1.0,0.0,0.0,0.0,0.0,-85.14299659096177,-71.70991811361029,85.14299659096177
0.0,0.0,1.0,0.0,0.0,0.0,-85.09257077191276,-56.43062951044816,56.43062951044816
0.0,0.0,0.0,1.0,0.0,0.0,-85.09257077191276,-56.43062951044816,56.43062951044816
1.0,0.0,0.0,0.0,0.0,0.0,-85.09257077191276,-56.43062951044816,56.43062951044816
0.0,0.0,0.0,0.0,1.0,0.0,-85.09257077191276,-56.43062951044816,141.52320028236093
0.0,0.0,0.0,0.0,0.0,1.0,-85.09257077191276,-56.43062951044816,141.52320028236093
0.0,1.0,0.0,0.0,0.0,0.0,-85.09257077191276,-56.43062951044816,85.09257077191276
0.0,0.0,1.0,0.0,0.0,0.0,-84.19880207053744,-95.76460547359137,95.76460547359137
0.0,0.0,0.0,1.0,0.0,0.0,-84.19880207053744,-95.76460547359137,95.76460547359137
1.0,0.0,0.0,0.0,0.0,0.0,-84.19880207053744,-95.76460547359137,95.76460547359137
0.0,0.0,0.0,0.0,1.0,0.0,-84.19880207053744,-95.76460547359137,179.9634075441288
0.0,0.0,0.0,0.0,0.0,1.0,-84.19880207053744,-95.76460547359137,179.9634075441288
0.0,1.0,0.0,0.0,0.0,0.0,-84.19880207053744,-95.76460547359137,84.19880207053744
0.0,0.0,1.0,0.0,0.0,0.0,-83.71299993010804,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-83.71299993010804,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-83.71299993010804,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-83.71299993010804,-0.0,83.71299993010804
0.0,0.0,0.0,0.0,0.0,1.0,-83.71299993010804,-0.0,83.71299993010804
0.0,1.0,0.0,0.0,0.0,0.0,-83.71299993010804,-0.0,83.71299993010804
0.0,0.0,1.0,0.0,0.0,0.0,-83.46452977229744,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-83.46452977229744,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-83.46452977229744,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-83.46452977229744,-0.0,83.46452977229744
0.0,0.0,0.0,0.0,0.0,1.0,-83.46452977229744,-0.0,83.46452977229744
0.0,1.0,0.0,0.0,0.0,0.0,-83.46452977229744,-0.0,83.46452977229744
0.0,0.0,1.0,0.0,0.0,0.0,-82.19011485915917,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-82.19011485915917,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-82.19011485915917,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-82.19011485915917,-0.0,82.19011485915917
0.0,0.0,0.0,0.0,0.0,1.0,-82.19011485915917,-0.0,82.19011485915917
0.0,1.0,0.0,0.0,0.0,0.0,-82.19011485915917,-0.0,82.19011485915917
0.0,0.0,1.0,0.0,0.0,0.0,-81.93877960102785,-66.96499612661364,66.96499612661364
0.0,0.0,0.0,1.0,0.0,0.0,-81.93877960102785,-66.96499612661364,66.96499612661364
1.0,0.0,0.0,0.0,0.0,0.0,-81.93877960102785,-66.96499612661364,66.96499612661364
0.0,0.0,0.0,0.0,1.0,0.0,-81.93877960102785,-66.96499612661364,148.9037757276415
0.0,0.0,0.0,0.0,0.0,1.0,-81.93877960102785,-66.96499612661364,148.9037757276415
0.0,1.0,0.0,0.0,0.0,0.0,-81.93877960102785,-66.96499612661364,81.93877960102785
0.0,0.0,1.0,0.0,0.0,0.0,-81.4808628290239,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-81.4808628290239,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-81.4808628290239,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-81.4808628290239,-0.0,81.4808628290239
0.0,0.0,0.0,0.0,0.0,1.0,-81.4808628290239,-0.0,81.4808628290239
0.0,1.0,0.0,0.0,0.0,0.0,-81.4808628290239,-0.0,81.4808628290239
0.0,0.0,1.0,0.0,0.0,0.0,-81.34204160607929,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-81.34204160607929,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-81.34204160607929,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-81.34204160607929,-0.0,81.34204160607929
0.0,0.0,0.0,0.0,0.0,1.0,-81.34204160607929,-0.0,81.34204160607929
0.0,1.0,0.0,0.0,0.0,0.0,-81.34204160607929,-0.0,81.34204160607929
0.0,0.0,1.0,0.0,0.0,0.0,-81.1009672439247,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-81.1009672439247,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-81.1009672439247,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-81.1009672439247,-0.0,81.1009672439247
0.0,0.0,0.0,0.0,0.0,1.0,-81.1009672439247,-0.0,81.1009672439247
0.0,1.0,0.0,0.0,0.0,0.0,-81.1009672439247,-0.0,81.1009672439247
0.0,0.0,1.0,0.0,0.0,0.0,-80.99689336014228,-82.74280405576178,82.74280405576178
0.0,0.0,0.0,1.0,0.0,0.0,-80.99689336014228,-82.74280405576178,82.74280405576178
1.0,0.0,0.0,0.0,0.0,0.0,-80.99689336014228,-82.74280405576178,82.74280405576178
0.0,0.0,0.0,0.0,1.0,0.0,-80.99689336014228,-82.74280405576178,163.73969741590406
0.0,0.0,0.0,0.0,0.0,1.0,-80.99689336014228,-82.74280405576178,163.73969741590406
0.0,1.0,0.0,0.0,0.0,0.0,-80.99689336014228,-82.74280405576178,80.99689336014228
0.0,0.0,1.0,0.0,0.0,0.0,-80.8356935952632,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-80.8356935952632,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-80.8356935952632,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-80.8356935952632,-0.0,80.8356935952632
0.0,0.0,0.0,0.0,0.0,1.0,-80.8356935952632,-0.0,80.8356935952632
0.0,1.0,0.0,0.0,0.0,0.0,-80.8356935952632,-0.0,80.8356935952632
0.0,0.0,1.0,0.0,0.0,0.0,-80.21473675486081,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-80.21473675486081,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-80.21473675486081,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-80.21473675486081,-0.0,80.21473675486081
0.0,0.0,0.0,0.0,0.0,1.0,-80.21473675486081,-0.0,80.21473675486081
0.0,1.0,0.0,0.0,0.0,0.0,-80.21473675486081,-0.0,80.21473675486081
0.0,0.0,1.0,0.0,0.0,0.0,-77.47661527391433,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-77.47661527391433,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-77.47661527391433,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-77.47661527391433,-0.0,77.47661527391433
0.0,0.0,0.0,0.0,0.0,1.0,-77.47661527391433,-0.0,77.47661527391433
0.0,1.0,0.0,0.0,0.0,0.0,-77.47661527391433,-0.0,77.47661527391433
0.0,0.0,1.0,0.0,0.0,0.0,-76.91924377262204,-84.19979699960585,84.19979699960585
0.0,0.0,0.0,1.0,0.0,0.0,-76.91924377262204,-84.19979699960585,84.19979699960585
1.0,0.0,0.0,0.0,0.0,0.0,-76.91924377262204,-84.19979699960585,84.19979699960585
0.0,0.0,0.0,0.0,1.0,0.0,-76.91924377262204,-84.19979699960585,161.1190407722279
0.0,0.0,0.0,0.0,0.0,1.0,-76.91924377262204,-84.19979699960585,161.1190407722279
0.0,1.0,0.0,0.0,0.0,0.0,-76.91924377262204,-84.19979699960585,76.91924377262204
0.0,0.0,1.0,0.0,0.0,0.0,-76.19974380485611,-72.40172194728872,72.40172194728872
0.0,0.0,0.0,1.0,0.0,0.0,-76.19974380485611,-72.40172194728872,72.40172194728872
1.0,0.0,0.0,0.0,0.0,0.0,-76.19974380485611,-72.40172194728872,72.40172194728872
0.0,0.0,0.0,0.0,1.0,0.0,-76.19974380485611,-72.40172194728872,148.60146575214483
0.0,0.0,0.0,0.0,0.0,1.0,-76.19974380485611,-72.40172194728872,148.60146575214483
0.0,1.0,0.0,0.0,0.0,0.0,-76.19974380485611,-72.40172194728872,76.19974380485611
0.0,0.0,1.0,0.0,0.0,0.0,-75.67855044852858,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-75.67855044852858,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-75.67855044852858,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-75.67855044852858,-0.0,75.67855044852858
0.0,0.0,0.0,0.0,0.0,1.0,-75.67855044852858,-0.0,75.67855044852858
0.0,1.0,0.0,0.0,0.0,0.0,-75.67855044852858,-0.0,75.67855044852858
0.0,0.0,1.0,0.0,0.0,0.0,-75.65605745281763,-66.51950330805029,66.51950330805029
0.0,0.0,0.0,1.0,0.0,0.0,-75.65605745281763,-66.51950330805029,66.51950330805029
1.0,0.0,0.0,0.0,0.0,0.0,-75.65605745281763,-66.51950330805029,66.51950330805029
0.0,0.0,0.0,0.0,1.0,0.0,-75.65605745281763,-66.51950330805029,142.17556076086794
0.0,0.0,0.0,0.0,0.0,1.0,-75.65605745281763,-66.51950330805029,142.17556076086794
0.0,1.0,0.0,0.0,0.0,0.0,-75.65605745281763,-66.51950330805029,75.65605745281763
0.0,0.0,1.0,0.0,0.0,0.0,-75.51966956339868,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-75.51966956339868,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-75.51966956339868,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-75.51966956339868,-0.0,75.51966956339868
0.0,0.0,0.0,0.0,0.0,1.0,-75.51966956339868,-0.0,75.51966956339868
0.0,1.0,0.0,0.0,0.0,0.0,-75.51966956339868,-0.0,75.51966956339868
0.0,0.0,1.0,0.0,0.0,0.0,-74.06391405154486,-67.25467979952433,67.25467979952433
0.0,0.0,0.0,1.0,0.0,0.0,-74.06391405154486,-67.25467979952433,67.25467979952433
1.0,0.0,0.0,0.0,0.0,0.0,-74.06391405154486,-67.25467979952433,67.25467979952433
0.0,0.0,0.0,0.0,1.0,0.0,-74.06391405154486,-67.25467979952433,141.31859385106918
0.0,0.0,0.0,0.0,0.0,1.0,-74.06391405154486,-67.25467979952433,141.31859385106918
0.0,1.0,0.0,0.0,0.0,0.0,-74.06391405154486,-67.25467979952433,74.06391405154486
0.0,0.0,1.0,0.0,0.0,0.0,-74.00958440423784,-76.95424226537384,76.95424226537384
0.0,0.0,0.0,1.0,0.0,0.0,-74.00958440423784,-76.95424226537384,76.95424226537384
1.0,0.0,0.0,0.0,0.0,0.0,-74.00958440423784,-76.95424226537384,76.95424226537384
0.0,0.0,0.0,0.0,1.0,0.0,-74.00958440423784,-76.95424226537384,150.96382666961168
0.0,0.0,0.0,0.0,0.0,1.0,-74.00958440423784,-76.95424226537384,150.96382666961168
0.0,1.0,0.0,0.0,0.0,0.0,-74.00958440423784,-76.95424226537384,74.00958440423784
0.0,0.0,1.0,0.0,0.0,0.0,-73.38315147796537,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-73.38315147796537,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-73.38315147796537,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-73.38315147796537,-0.0,73.38315147796537
0.0,0.0,0.0,0.0,0.0,1.0,-73.38315147796537,-0.0,73.38315147796537
0.0,1.0,0.0,0.0,0.0,0.0,-73.38315147796537,-0.0,73.38315147796537
0.0,0.0,1.0,0.0,0.0,0.0,-72.97124861212639,-81.57828484644472,81.57828484644472
0.0,0.0,0.0,1.0,0.0,0.0,-72.97124861212639,-81.57828484644472,81.57828484644472
1.0,0.0,0.0,0.0,0.0,0.0,-72.97124861212639,-81.57828484644472,81.57828484644472
0.0,0.0,0.0,0.0,1.0,0.0,-72.97124861212639,-81.57828484644472,154.5495334585711
0.0,0.0,0.0,0.0,0.0,1.0,-72.97124861212639,-81.57828484644472,154.5495334585711
0.0,1.0,0.0,0.0,0.0,0.0,-72.97124861212639,-81.57828484644472,72.97124861212639
0.0,0.0,1.0,0.0,0.0,0.0,-71.8935900874909,-53.49424322960906,53.49424322960906
0.0,0.0,0.0,1.0,0.0,0.0,-71.8935900874909,-53.49424322960906,53.49424322960906
1.0,0.0,0.0,0.0,0.0,0.0,-71.8935900874909,-53.49424322960906,53.49424322960906
0.0,0.0,0.0,0.0,1.0,0.0,-71.8935900874909,-53.49424322960906,125.38783331709996
0.0,0.0,0.0,0.0,0.0,1.0,-71.8935900874909,-53.49424322960906,125.38783331709996
0.0,1.0,0.0,0.0,0.0,0.0,-71.8935900874909,-53.49424322960906,71.8935900874909
0.0,0.0,1.0,0.0,0.0,0.0,-71.73801283196683,-97.30904670918959,97.30904670918959
0.0,0.0,0.0,1.0,0.0,0.0,-71.73801283196683,-97.30904670918959,97.30904670918959
1.0,0.0,0.0,0.0,0.0,0.0,-71.73801283196683,-97.30904670918959,97.30904670918959
0.0,0.0,0.0,0.0,1.0,0.0,-71.73801283196683,-97.30904670918959,169.04705954115641
0.0,0.0,0.0,0.0,0.0,1.0,-71.73801283196683,-97.30904670918959,169.04705954115641
0.0,1.0,0.0,0.0,0.0,0.0,-71.73801283196683,-97.30904670918959,71.73801283196683
0.0,0.0,1.0,0.0,0.0,0.0,-71.05782087770594,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-71.05782087770594,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-71.05782087770594,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-71.05782087770594,-0.0,71.05782087770594
0.0,0.0,0.0,0.0,0.0,1.0,-71.05782087770594,-0.0,71.05782087770594
0.0,1.0,0.0,0.0,0.0,0.0,-71.05782087770594,-0.0,71.05782087770594
0.0,0.0,1.0,0.0,0.0,0.0,-70.90825521516355,-0.0,0.0
